"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"284169636721881088","","","","","2012-12-27 05:31:35 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Hello my followers, @undozen is my new id."
"284169376075227136","","","","","2012-12-27 05:30:33 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","???? @undozen ?????????????2013 ?????? @yuest ??"
"268552234864889856","268551703392055296","15943087","","","2012-11-14 03:13:36 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@cranewang ?????"
"268551352697880576","268335407513616385","15943087","","","2012-11-14 03:10:06 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@cranewang ???????"
"268269395447541760","","","268244229455757313","34950061","2012-11-13 08:29:42 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @marchliu: ????Apple?IOS??????????????????????surface?win8???????????????????????????????????????????????????????"
"265473071069159424","260230952381464576","53921636","","","2012-11-05 15:18:07 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@xream ?????????????berserkjs ???????? phantomjs"
"251240023293317120","","","","","2012-09-27 08:41:04 +0000","web","Galaxy Note ?????5 ? icons ??????????? icons ?? 5 ????????"
"250219236662849536","","","","","2012-09-24 13:04:49 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wake me up, when september ends. ?????????????????????????HIMYM ???TBBT ???????????@tualatrix(?????????????????)"
"248207942392885249","","15943087","","","2012-09-18 23:52:39 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@cranewang ??????????????????"
"246971995508580352","","","246924501068177408","121908437","2012-09-15 14:01:26 +0000","web","RT @tualatrix: @yuest ?????Github?T???? http://t.co/jRrlE0g0","http://instagr.am/p/Pl9kdHIhP-/"
"246897404924813314","","7129932","","","2012-09-15 09:05:03 +0000","web","@zcbenz node-webkit ???? express?? package.json ?? ""main"": ""/"" ??"
"245438586227400704","245436247047299072","13696102","","","2012-09-11 08:28:13 +0000","web","@indexzero see ya"
"244767670719881217","","","","","2012-09-09 12:02:14 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mac ? tsocks ?????????????proxychains???????"
"244756907045314560","244742421219528704","147880724","","","2012-09-09 11:19:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jiyinyiyong ??????????feature"
"244739147112259584","244733903443738624","147880724","","","2012-09-09 10:08:54 +0000","web","@jiyinyiyong ??down?????"
"244036624630046720","244036334442917890","121908437","","","2012-09-07 11:37:19 +0000","web","@tualatrix ???????????????????????????"
"244035764642533376","244011525499662336","15943087","","","2012-09-07 11:33:54 +0000","web","@cranewang ?????"
"244035564741996545","","","","","2012-09-07 11:33:07 +0000","web","??????????@tualatrix ?????????????????????"
"243866483065753600","243865331708334082","33732455","","","2012-09-07 00:21:15 +0000","web","@yuest @sixohsix ???"
"243865331708334082","","","","","2012-09-07 00:16:40 +0000","<a href=""http://yue.st/"" rel=""nofollow"">yuest</a>","Using @sixohsix's sweet Python Twitter Tools."
